nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
710013160;SELARL NUCLEARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;272609708;27-26-35573;27-26-35573;2006-12-14;710014739;2008-06-09
710013160;SELARL NUCLEARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;272609709;27-26-45689;27-26-45689;2009-06-12;710014739;2009-11-27
710015025;SOCIETE CIVILE DE MOYENS TEP CHALON;05705;Tomographe à émissions;272609711;27-26-35577;27-26-35577;2003-03-07;710015033;2004-11-04
710015850;SCM TEP MACON;05705;Tomographe à émissions;272609712;27-26-66459;27-26-66459;2018-05-30;710015868;2019-08-27
730000015;CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609713;84-82-1849;84-82-1849;2002-11-13;730000031;2008-07-08
730000015;CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609714;84-82-1848;84-82-1848;2001-12-31;730000031;2002-05-20
730000015;CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609715;84-82-1850;84-82-1850;2005-11-09;730000031;2008-07-08
730000015;CENTRE HOSPITALIER METROPOLE SAVOIE;05705;Tomographe à émissions;842609716;84-82-4747;84-82-4747;2007-07-11;730000031;2010-03-17
740002019;SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05701;Caméra à scintillation sans détecteur d'émission de positons;842609717;84-82-1854;84-82-1854;2006-12-13;740011077;2002-11-16
740002019;SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05705;Tomographe à émissions;842609718;84-82-1768;84-82-1768;2006-01-31;740011077;2007-11-16
740002019;SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05701;Caméra à scintillation sans détecteur d'émission de positons;842609719;84-82-1853;84-82-1853;2005-11-09;740011077;2003-10-29
740790258;CH ALPES LEMAN;05705;Tomographe à émissions;842609720;84-82-60065;84-82-60065;2016-10-03;740781141;2018-01-31
740790258;CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609721;84-82-1822;84-82-1822;2002-06-12;740781141;2004-05-07
740790258;CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609722;84-82-1823;84-82-1823;1998-06-09;740781141;1998-06-09
740790258;CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609723;84-82-1821;84-82-1821;2002-11-13;740781141;2022-09-20
750150120;FONDATION HOPITAL SAINT-JOSEPH;05602;Scanographe à utilisation médicale;112609724;11-11-62838;11-11-62838;2016-12-09;750000523;2017-11-06
750150229;FONDATION ADOLPHE DE ROTHSCHILD;05602;Scanographe à utilisation médicale;112609725;11-11-68658;11-11-68658;2018-12-26;750000549;2019-01-09
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112609729;11-11-75495;11-11-75495;2019-12-20;750100075;2021-01-06
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112609726;11-11-62837;11-11-62837;2016-12-09;750100125;2019-01-07
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112609728;11-11-68656;11-11-68656;2018-12-26;750100273;2021-02-10
750813321;FONDATION CURIE;05602;Scanographe à utilisation médicale;112609739;11-11-54103;11-11-54103;2015-06-02;750160012;2016-11-07
750813321;FONDATION CURIE;05602;Scanographe à utilisation médicale;112609740;11-11-64377;11-11-64377;2017-06-29;750160012;2018-09-03
